selection_rank,screen_rank,case_id,commit_id,bug_type,selection_group,checker_id,case_dir,selection_reason
1,2,02_3027e7b15b02_Null_Pointer_Dereference,3027e7b15b02d2d37e3f82d6b8404f6d37e3b8cf,Null-Pointer-Dereference,local_triage,old:3027e7b15b02d2d37e3f82d6b8404f6d37e3b8cf:checker2,artifacts/research/knighter/cases/02_3027e7b15b02_Null_Pointer_Dereference,fixed_noisy
2,5,05_c48a4497356f_Uninit_Data,c48a4497356f701f94f1951626637ae240af909e,Uninit-Data,local_triage,old:c48a4497356f701f94f1951626637ae240af909e:checker7,artifacts/research/knighter/cases/05_c48a4497356f_Uninit_Data,fixed_noisy
3,7,07_5aa2184e2908_Double_Free,5aa2184e29081665f915594bc6de9b7fee6e4883,Double-Free,scan_selected,old:5aa2184e29081665f915594bc6de9b7fee6e4883:checker0,artifacts/research/knighter/cases/07_5aa2184e2908_Double_Free,fixed_noisy
4,8,08_768f17fd25e4_Integer_Overflow,768f17fd25e4a98bf5166148629ecf6f647d5efc,Integer-Overflow,scan_selected,old:768f17fd25e4a98bf5166148629ecf6f647d5efc:checker1,artifacts/research/knighter/cases/08_768f17fd25e4_Integer_Overflow,fixed_noisy
5,9,09_df94cb2e57b2_Integer_Overflow,df94cb2e57b2cc539f325003e7abb76d3060d55b,Integer-Overflow,scan_selected,old:df94cb2e57b2cc539f325003e7abb76d3060d55b:checker7,artifacts/research/knighter/cases/09_df94cb2e57b2_Integer_Overflow,fixed_noisy
6,10,10_f503ae90c735_Null_Pointer_Dereference,f503ae90c7355e8506e68498fe84c1357894cd5b,Null-Pointer-Dereference,scan_selected,old:f503ae90c7355e8506e68498fe84c1357894cd5b:checker0,artifacts/research/knighter/cases/10_f503ae90c735_Null_Pointer_Dereference,fixed_noisy
7,14,14_c3d749609472_Out_of_Bound,c3d749609472ba0b217b42ab66f80459847e2bcb,Out-of-Bound,scan_selected,old:c3d749609472ba0b217b42ab66f80459847e2bcb:checker1,artifacts/research/knighter/cases/14_c3d749609472_Out_of_Bound,fixed_noisy
8,19,19_39b13dce1a91_Double_Free,39b13dce1a91cdfc3bec9238f9e89094551bd428,Double-Free,scan_selected,old:39b13dce1a91cdfc3bec9238f9e89094551bd428:checker0,artifacts/research/knighter/cases/19_39b13dce1a91_Double_Free,fixed_noisy
9,20,20_d8c561741ef8_Double_Free,d8c561741ef83980114b3f7f95ffac54600f3f16,Double-Free,scan_selected,old:d8c561741ef83980114b3f7f95ffac54600f3f16:checker2,artifacts/research/knighter/cases/20_d8c561741ef8_Double_Free,fixed_noisy
10,23,23_13e788deb734_Out_of_Bound,13e788deb7348cc88df34bed736c3b3b9927ea52,Out-of-Bound,scan_selected,old:13e788deb7348cc88df34bed736c3b3b9927ea52:checker0,artifacts/research/knighter/cases/23_13e788deb734_Out_of_Bound,fixed_noisy
12,34,34_61c43780e944_Misuse,61c43780e9444123410cd48c2483e01d2b8f75e8,Misuse,valid_no_local_report,old:61c43780e9444123410cd48c2483e01d2b8f75e8:checker0,artifacts/research/knighter/cases/34_61c43780e944_Misuse,fixed_noisy
13,39,39_eaa03486d932_Uninit_Data,eaa03486d932572dfd1c5f64f9dfebe572ad88c0,Uninit-Data,valid_no_local_report,old:eaa03486d932572dfd1c5f64f9dfebe572ad88c0:checker4,artifacts/research/knighter/cases/39_eaa03486d932_Uninit_Data,fixed_noisy
