sample_id,project,cwe_id,vulnerability_type,analyzer,baseline_source,knighter_candidate_group,knighter_report_count,knighter_manual_bugs,knighter_manual_not_bugs,metric_scope_note,run_started_at,output_root,report_path,success,generation_success,semantic_success,vuln_validation_blocked,vuln_validation_block_reason,vuln_validation_target,vuln_hit,vuln_diagnostics,fixed_validation_success,fixed_validation_blocked,fixed_validation_block_reason,fixed_validation_target,fixed_silent,fixed_diagnostics,pds,checker_name,iterations,compile_attempts,artifact_total_lines,artifact_nonempty_lines,agent_prompt_tokens,agent_completion_tokens,agent_total_tokens,pipeline_prompt_tokens,pipeline_completion_tokens,pipeline_total_tokens,llm_calls,total_seconds,agent_seconds,validation_seconds,error_message
vul4c_cwe369_libtiff_cve20177595,libtiff,CWE-369,divide by zero,csa,,,,,,,2026/4/22 20:22,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe369_libtiff_cve20177595/primary/csa/20260422_201752,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe369_libtiff_cve20177595/primary/csa/20260422_201752/final_report.json,TRUE,TRUE,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe369_libtiff_cve20177595/vulnerable,TRUE,3,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe369_libtiff_cve20177595/fixed,TRUE,0,TRUE,InvalidSamplingFactorValidationChecker,4,1,396,325,32421,4530,36951,70376,9442,79818,9,200.085,117.887,81.857,
vul4c_cwe369_libtiff_cve20177595,libtiff,CWE-369,divide by zero,codeql,,,,,,,2026/4/22 20:54,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe369_libtiff_cve20177595/primary/codeql/20260422_205229,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe369_libtiff_cve20177595/primary/codeql/20260422_205229/final_report.json,TRUE,TRUE,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe369_libtiff_cve20177595/vulnerable,TRUE,5,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe369_libtiff_cve20177595/fixed,FALSE,5,FALSE,LibtiffYCbCrSamplingDivideByZero,4,0,122,110,28928,2081,31009,63390,4902,68292,9,106.764,90.975,15.534,
vul4c_cwe119_imagemagick_cve20169556,imagemagick,CWE-119,buffer overflow,csa,,,,,,,2026/4/23 10:36,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe119_imagemagick_cve20169556/primary/csa/20260423_102141,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe119_imagemagick_cve20169556/primary/csa/20260423_102141/final_report.json,TRUE,TRUE,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_imagemagick_cve20169556/vulnerable,TRUE,94,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_imagemagick_cve20169556/fixed,FALSE,96,FALSE,MalformedHeaderFieldRangeChecker,4,1,524,449,30614,5809,36423,66726,12029,78755,9,493.551,138.26,355.044,
vul4c_cwe119_imagemagick_cve20169556,imagemagick,CWE-119,buffer overflow,codeql,,,,,,,2026/4/23 10:47,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe119_imagemagick_cve20169556/primary/codeql/20260423_104338,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe119_imagemagick_cve20169556/primary/codeql/20260423_104338/final_report.json,TRUE,TRUE,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_imagemagick_cve20169556/vulnerable,TRUE,2,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_imagemagick_cve20169556/fixed,TRUE,0,TRUE,SgiHeaderDimensionRangeValidation,4,0,100,90,29605,2196,31801,64708,4770,69478,9,147.858,87.692,59.905,
vul4c_cwe119_libming_cve20169827,libming,CWE-119,buffer overflow,csa,,,,,,,2026/4/23 11:26,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe119_libming_cve20169827/primary/csa/20260423_112006,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe119_libming_cve20169827/primary/csa/20260423_112006/final_report.json,FALSE,TRUE,FALSE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_libming_cve20169827/vulnerable,FALSE,0,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_libming_cve20169827/fixed,TRUE,0,FALSE,StringFieldRawReadMismatchChecker,4,1,269,220,31708,3532,35240,68827,7517,76344,9,127.318,113.513,13.54,检测器已生成，但未在漏洞版本命中
vul4c_cwe119_libming_cve20169827,libming,CWE-119,buffer overflow,codeql,,,,,,,2026/4/23 12:31,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe119_libming_cve20169827/primary/codeql/20260423_122916,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe119_libming_cve20169827/primary/codeql/20260423_122916/final_report.json,FALSE,TRUE,FALSE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_libming_cve20169827/vulnerable,FALSE,0,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_libming_cve20169827/fixed,TRUE,0,FALSE,StringReaderContractMismatch,4,0,126,112,30035,2474,32509,65481,5340,70821,9,116.481,96.511,19.728,检测器已生成，但未在漏洞版本命中
vul4c_cwe120_jhead_cve202028840,jhead,CWE-120,classic buffer overflow,csa,,,,,,,2026/4/23 11:33,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe120_jhead_cve202028840/primary/csa/20260423_113029,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe120_jhead_cve202028840/primary/csa/20260423_113029/final_report.json,TRUE,TRUE,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe120_jhead_cve202028840/vulnerable,TRUE,3,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe120_jhead_cve202028840/fixed,FALSE,3,FALSE,OutOfBoundsLookaheadReadChecker,4,1,432,363,33231,6723,39954,71925,14150,86075,9,173.167,169.78,3.143,
vul4c_cwe120_jhead_cve202028840,jhead,CWE-120,classic buffer overflow,codeql,,,,,,,2026/4/23 12:16,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe120_jhead_cve202028840/primary/codeql/20260423_121304,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe120_jhead_cve202028840/primary/codeql/20260423_121304/final_report.json,FALSE,TRUE,FALSE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe120_jhead_cve202028840/vulnerable,FALSE,0,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe120_jhead_cve202028840/fixed,TRUE,0,FALSE,UncheckedLookaheadRead,8,0,80,69,65861,5467,71328,137185,11679,148864,17,176.957,167.55,9.18,检测器已生成，但未在漏洞版本命中
vul4c_cwe125_binutils_cve201715021,binutils,CWE-125,out-of-bounds read,csa,,,,,,,2026/4/23 12:51,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe125_binutils_cve201715021/primary/csa/20260423_124803,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe125_binutils_cve201715021/primary/csa/20260423_124803/final_report.json,TRUE,TRUE,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe125_binutils_cve201715021/vulnerable,TRUE,1,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe125_binutils_cve201715021/fixed,TRUE,0,TRUE,FixedWidthReadBoundsChecker,4,1,181,156,32015,2624,34639,69529,5903,75432,9,129.736,86.973,42.545,
vul4c_cwe125_binutils_cve201715021,binutils,CWE-125,out-of-bounds read,codeql,,,,,,,2026/4/23 13:00,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe125_binutils_cve201715021/primary/codeql/20260423_125718,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe125_binutils_cve201715021/primary/codeql/20260423_125718/final_report.json,TRUE,TRUE,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe125_binutils_cve201715021/vulnerable,TRUE,4,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe125_binutils_cve201715021/fixed,FALSE,4,FALSE,IncompleteFixedWidthReadBoundsCheck,3,0,50,44,23530,1285,24815,52559,3190,55749,7,127.243,85.608,41.388,
vul4c_cwe190_binutils_cve201714745,binutils,CWE-190,integer overflow or wraparound,csa,,,,,,,2026/4/23 13:43,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe190_binutils_cve201714745/primary/csa/20260423_133731,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe190_binutils_cve201714745/primary/csa/20260423_133731/final_report.json,TRUE,TRUE,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe190_binutils_cve201714745/vulnerable,TRUE,3,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe190_binutils_cve201714745/fixed,TRUE,0,TRUE,UncheckedNegativeCountToSizeChecker,4,1,445,378,31791,3383,35174,69029,7463,76492,9,265.43,219.018,46.171,
