sample_id,project,cwe_id,vulnerability_type,analyzer,baseline_source,knighter_candidate_group,knighter_report_count,knighter_manual_bugs,knighter_manual_not_bugs,metric_scope_note,run_started_at,input_root,report_path,baseline_success,refine_success,baseline_vuln_hit,refine_vuln_hit,baseline_vuln_diagnostics,refine_vuln_diagnostics,baseline_fixed_silent,refine_fixed_silent,baseline_fixed_diagnostics,refine_fixed_diagnostics,baseline_pds,refine_pds,baseline_nonempty_lines,refined_nonempty_lines,delta_nonempty_lines,growth_ratio,refinement_attempted,refinement_adopted,refinement_rounds,iterations,compile_attempts,agent_prompt_tokens,agent_completion_tokens,agent_total_tokens,pipeline_prompt_tokens,pipeline_completion_tokens,pipeline_total_tokens,llm_calls,total_seconds,agent_seconds,validation_seconds,error_message
vul4c_cwe369_libtiff_cve20177595,libtiff,CWE-369,divide by zero,csa,,,,,,,2026/4/24 9:45,runs/vul4c_cwe369_libtiff_cve20177595/primary/csa/20260422_201752,runs/vul4c_cwe369_libtiff_cve20177595/primary/csa/20260422_201752/refinements/20260424_091557/final_report.json,TRUE,TRUE,TRUE,TRUE,3,3,TRUE,TRUE,0,0,TRUE,TRUE,325,,,,TRUE,FALSE,1,0,0,0,0,0,23426,144,23570,2,32.77,2.838,18.735,跳过
vul4c_cwe369_libtiff_cve20177595,libtiff,CWE-369,divide by zero,codeql,,,,,,,2026/4/24 10:05,runs/vul4c_cwe369_libtiff_cve20177595/primary/codeql/20260422_205229,runs/vul4c_cwe369_libtiff_cve20177595/primary/codeql/20260422_205229/refinements/20260424_095847_manual/final_report.json,TRUE,TRUE,TRUE,TRUE,5,5,FALSE,TRUE,5,0,FALSE,TRUE,110,259,149,2.354545,TRUE,TRUE,3,2,0,19489,2432,21921,226072,29590,255662,24,382.879,201.473,17.495,
vul4c_cwe119_imagemagick_cve20169556,imagemagick,CWE-119,buffer overflow,csa,,,,,,,2026/4/24 10:18,runs/vul4c_cwe119_imagemagick_cve20169556/primary/csa/20260423_102141,runs/vul4c_cwe119_imagemagick_cve20169556/primary/csa/20260423_102141/refinements/20260424_100851/final_report.json,TRUE,TRUE,TRUE,TRUE,94,0,FALSE,TRUE,96,0,FALSE,TRUE,449,581,132,1.293987,TRUE,TRUE,3,2,1,26320,3665,29985,174684,33252,207936,14,520.717,209.011,51.739,
vul4c_cwe119_imagemagick_cve20169556,imagemagick,CWE-119,buffer overflow,codeql,,,,,,,2026/4/24 10:37,runs/vul4c_cwe119_imagemagick_cve20169556/primary/codeql/20260423_104338,runs/vul4c_cwe119_imagemagick_cve20169556/primary/codeql/20260423_104338/refinements/20260424_103036_manual/final_report.json,TRUE,TRUE,TRUE,TRUE,2,3,TRUE,TRUE,0,0,TRUE,TRUE,90,190,100,2.111111,TRUE,TRUE,3,5,0,46422,5155,51577,365048,36316,401364,42,499.896,141.62,62.581,
vul4c_cwe120_jhead_cve202028840,jhead,CWE-120,classic buffer overflow,csa,,,,,,,2026/4/24 11:05,runs/vul4c_cwe120_jhead_cve202028840/primary/csa/20260423_113029,runs/vul4c_cwe120_jhead_cve202028840/primary/csa/20260423_113029/refinements/20260424_105117/final_report.json,TRUE,TRUE,TRUE,TRUE,3,3,FALSE,FALSE,3,3,FALSE,FALSE,363,534,171,1.471074,TRUE,TRUE,3,2,1,25583,1528,27111,263308,50732,314040,22,572.706,419.35,3.288,
vul4c_cwe120_jhead_cve202028840,jhead,CWE-120,classic buffer overflow,codeql,,,,,,,2026/4/24 11:34,runs/vul4c_cwe120_jhead_cve202028840/primary/codeql/20260423_121304,runs/vul4c_cwe120_jhead_cve202028840/primary/codeql/20260423_121304/refinements/20260424_110700_manual/final_report.json,FALSE,TRUE,FALSE,FALSE,0,0,TRUE,TRUE,0,0,FALSE,FALSE,69,198,129,2.869565,TRUE,TRUE,3,3,0,0,0,0,193748,14892,208640,0,432.478,150.93,18.773,检测器已生成，但未在漏洞版本命中
vul4c_cwe190_binutils_cve201714745,binutils,CWE-190,integer overflow or wraparound,csa,,,,,,,2026/4/24 12:28,runs/vul4c_cwe190_binutils_cve201714745/primary/csa/20260423_133731,runs/vul4c_cwe190_binutils_cve201714745/primary/csa/20260423_133731/refinements/20260424_115532/final_report.json,TRUE,TRUE,TRUE,TRUE,3,1,TRUE,TRUE,0,0,TRUE,TRUE,378,520,142,1.375661,TRUE,TRUE,1,0,1,0,0,0,23320,130,23450,2,30.892,2.531,19.751,跳过
vul4c_cwe190_binutils_cve201714745,binutils,CWE-190,integer overflow or wraparound,codeql,,,,,,,2026/4/24 12:07,runs/vul4c_cwe190_binutils_cve201714745/primary/codeql/20260423_134322,runs/vul4c_cwe190_binutils_cve201714745/primary/codeql/20260423_134322/refinements/20260424_115608/final_report.json,TRUE,TRUE,TRUE,FALSE,5,0,FALSE,TRUE,5,0,FALSE,FALSE,91,96,5,1.054945,TRUE,TRUE,3,4,0,35207,1913,37120,226562,14054,240616,26,261.171,103.178,3.366,检测器已生成，但未在漏洞版本命中
vul4c_cwe416_imagemagick_cve201712877,imagemagick,CWE-416,use after free,csa,,,,,,,2026/4/24 12:58,runs/vul4c_cwe416_imagemagick_cve201712877/primary/csa/20260423_150431,runs/vul4c_cwe416_imagemagick_cve201712877/primary/csa/20260423_150431/refinements/20260424_124500_manual/final_report.json,TRUE,TRUE,TRUE,TRUE,3,7,TRUE,FALSE,0,7,TRUE,FALSE,288,440,152,1.527778,TRUE,TRUE,3,6,1,53795,11940,65735,53795,11940,65735,5,275.451,272.721,2.73,
vul4c_cwe416_imagemagick_cve201712877,imagemagick,CWE-416,use after free,codeql,,,,,,,2026/4/24 13:30,runs/vul4c_cwe416_imagemagick_cve201712877/primary/codeql/20260423_151031,runs/vul4c_cwe416_imagemagick_cve201712877/primary/codeql/20260423_151031/refinements/20260424_125840/final_report.json,FALSE,TRUE,FALSE,TRUE,0,2,TRUE,TRUE,0,0,FALSE,TRUE,97,139,42,1.43299,TRUE,TRUE,1,7,0,67499,5829,73328,134998,11658,146656,14,168.494,150.351,18.143,
