selection_rank,case_id,execution_valid,outcome,accepted_refinement,fixed_reports_available,fixed_reports_used,triage_tp,triage_fp,llm_calls,prompt_tokens,completion_tokens,total_tokens,result_sha256,run_log_sha256
1,02_3027e7b15b02_Null_Pointer_Dereference,True,residual_fixed_noise,False,2,1,0,1,3,25574,17063,42637,6bdcd1b8a58f23809ae6d6523f25fb6e5c00426352757871fcd56367b61bca8d,05f9a6843eb8cad3a789c39b181388865a2cfb03ba451068f0c33f619ebc257e
2,05_c48a4497356f_Uninit_Data,True,residual_fixed_noise,False,1,1,0,1,2,17083,15741,32824,c5e4dbc7c2af79bf55dcf31f95d2a19f7912ac429d36113b4adcda9e1a840a35,e291751df68de3ae826ca12b428160da2dd1e998fbfd9e42a1ce51c1e4d78c0c
3,07_5aa2184e2908_Double_Free,True,validity_loss,False,9,1,0,1,2,17027,12223,29250,f8363d1e8d004d1633304998b7469ec43f12c0b4aa41cf27b8bb4abcb5bba7f6,e16ca314c9429a5582ca2be0216e1250a07cbcddf2e750e3b98f3a3836cfd4a2
4,08_768f17fd25e4_Integer_Overflow,True,refined_pds,True,6,1,0,1,4,33198,18314,51512,ddbff265d988287d52fbc0084ecd14aa2d3c60278b9cb14da6771467b27a8e6f,2951cf16d42bf658992c254bd94c82003390f70c325045e65bd311e4911cca01
5,09_df94cb2e57b2_Integer_Overflow,True,residual_fixed_noise,False,2,1,0,1,2,19207,17493,36700,3e30f62edc92e318fdab81c9024163984201a6d2676efcd54abd9778abe2f2a9,f904dc29ee321fec15e4252f23746748f83e7633c827e35cde27cd5fabf2b24e
6,10_f503ae90c735_Null_Pointer_Dereference,True,fixed_report_triage_miss,False,3,1,1,0,1,11248,2330,13578,36693e308743f20f7c7ca71002f258edc12c492bc1e2c8f68ca35e988363e50d,f065478435d596cf7702a6550963bb3f6323790e7eb2919f80028e1567669d2a
7,14_c3d749609472_Out_of_Bound,True,refined_pds,True,4,1,0,1,2,22325,8442,30767,eeb08286636f3a8cfba0b3440b5e062aba5d958808fecf1520926bc42583c324,13537b95b1858550da70dbcbd2e2a6ada6c3d87df6ff96caa39bf6947337bb9c
8,19_39b13dce1a91_Double_Free,True,validity_loss,False,1,1,0,1,2,24680,12589,37269,acb5b2f7cc21d9cd7840df0f2ff451a346cb572e80ee0fb835ff0c6e3609442f,9981f1735c40f9b75126508b5d2021ae56278836ba5b748d043b8b8bc403cd83
9,20_d8c561741ef8_Double_Free,True,validity_loss,False,1,1,0,1,4,30827,15656,46483,54e6148e5781743c44350620e118e720b19cd9ae56d413e01a1fc7f02a0d1ad3,36d2d3362525291abfe81c75afd0e6c956b92c409fccfd039400bc74cdc197f9
10,23_13e788deb734_Out_of_Bound,True,fixed_report_triage_miss,False,1,1,1,0,1,6879,484,7363,b82f4f193fcb72556f3b0476a4173ab9155e49aad216d89ab406e1294071f0c8,25ed69aefb81f4d3b9048be8f074c4b869c7dce98f95886d6fa8f91672fb643f
12,34_61c43780e944_Misuse,True,fixed_report_triage_miss,False,1,1,1,0,1,6872,857,7729,e454236c75b1c4e84b592181bf420e69b5753223e7e7e0de3f29a7b9066c671e,585525d18103caf596e8a37542bf671cddcb8a4961aa01beb725e9a96d95efd4
13,39_eaa03486d932_Uninit_Data,True,validity_loss,False,3,1,0,1,2,17070,7819,24889,4f52f5481e657a5dc1e8d434278d1e787e5f37e775a626b7224f66234e532392,963dca6f0f7527717111166930b0fa8eb7105fa1531451b84e832e6441f2a45e
