screen_rank,commit_id,bug_type,candidate_group,checker_id,knighter_report_count,knighter_manual_bugs,knighter_manual_not_bugs,patch_related_targets,buggy_alerts,fixed_alerts,buggy_fullscan_alerts,fixed_fullscan_alerts,buggy_miss,fixed_noisy,poor_distinguishing,buggy_report_dir,fixed_report_dir,archived_buggy_report_dir,archived_fixed_report_dir,screen1_priority,screen1_reason,manual_semantic_review_status,semantic_gap_tags,selection_hint
1,ac19c4c3d02e19b365209d2cee409671e1fb66bb,Misuse,local_triage_manual_fp,old:ac19c4c3d02e19b365209d2cee409671e1fb66bb:checker0,55,20,17,fs/bcachefs/chardev.o,1,0,,,FALSE,FALSE,FALSE,research/knighter/runs/knighter-v613/validation_20260616_185225/buggy/2026-06-16-185248-1643113-1,,research/knighter/e2/results/screen1_reports/01_ac19c4c3d02e_Misuse/buggy,,P0,historical NotBug labels; screen fixed-side noise first,screen1_no_obvious_alert_count_issue,,likely_e2_core_if_screen1_confirms_noise
2,3027e7b15b02d2d37e3f82d6b8404f6d37e3b8cf,Null-Pointer-Dereference,local_triage_manual_fp,old:3027e7b15b02d2d37e3f82d6b8404f6d37e3b8cf:checker2,75,17,12,drivers/net/ethernet/intel/ice/ice_ptp.o,19,2,,,FALSE,TRUE,TRUE,research/knighter/runs/knighter-v613/validation_20260616_185455/buggy/2026-06-16-185524-1669347-1,research/knighter/runs/knighter-v613/validation_20260616_185455/fixed/2026-06-16-185622-1681900-1,research/knighter/e2/results/screen1_reports/02_3027e7b15b02_Null_Pointer_Dereference/buggy,research/knighter/e2/results/screen1_reports/02_3027e7b15b02_Null_Pointer_Dereference/fixed,P0,fixed-side noisy,pending_manual_semantic_review,,screen1_bad_baseline_candidate
3,1f886a7bfb3faf4c1021e73f045538008ce7634e,Null-Pointer-Dereference,local_triage_manual_fp,old:1f886a7bfb3faf4c1021e73f045538008ce7634e:checker0,67,4,12,drivers/spi/spi-pci1xxxx.o,2,0,,,FALSE,FALSE,FALSE,research/knighter/runs/knighter-v613/validation_20260616_185716/buggy/2026-06-16-185757-1695601-1,,research/knighter/e2/results/screen1_reports/03_1f886a7bfb3f_Null_Pointer_Dereference/buggy,,P0,historical NotBug labels; screen fixed-side noise first,screen1_no_obvious_alert_count_issue,,likely_e2_core_if_screen1_confirms_noise
4,a54a594d72f25b08f39d743880a76721fba9ae77,Null-Pointer-Dereference,local_triage_manual_fp,old:a54a594d72f25b08f39d743880a76721fba9ae77:checker0,27,1,11,drivers/usb/host/xhci-mem.o,3,0,,,FALSE,FALSE,FALSE,research/knighter/runs/knighter-v613/validation_20260616_185928/buggy/2026-06-16-190000-1722020-1,,research/knighter/e2/results/screen1_reports/04_a54a594d72f2_Null_Pointer_Dereference/buggy,,P0,historical NotBug labels; screen fixed-side noise first,screen1_no_obvious_alert_count_issue,,likely_e2_core_if_screen1_confirms_noise
5,c48a4497356f701f94f1951626637ae240af909e,Uninit-Data,local_triage_manual_fp,old:c48a4497356f701f94f1951626637ae240af909e:checker7,5,1,1,sound/soc/codecs/sma1307.o,2,1,,,FALSE,TRUE,TRUE,research/knighter/runs/knighter-v613/validation_20260616_190733/buggy/2026-06-16-190758-1764911-1,research/knighter/runs/knighter-v613/validation_20260616_190733/fixed/2026-06-16-190854-1777659-1,research/knighter/e2/results/screen1_reports/05_c48a4497356f_Uninit_Data/buggy,research/knighter/e2/results/screen1_reports/05_c48a4497356f_Uninit_Data/fixed,P0,fixed-side noisy,pending_manual_semantic_review,,screen1_bad_baseline_candidate
6,8ede3db5061bb1fe28e2c9683329aafa89d2b1b4,Integer-Overflow,local_triage_manual_fp,old:8ede3db5061bb1fe28e2c9683329aafa89d2b1b4:checker2,2,1,1,io_uring/net.o,2,0,,,FALSE,FALSE,FALSE,research/knighter/runs/knighter-v613/validation_20260616_191641/buggy/2026-06-16-191710-1794091-1,,research/knighter/e2/results/screen1_reports/06_8ede3db5061b_Integer_Overflow/buggy,,P0,historical NotBug labels; screen fixed-side noise first,screen1_no_obvious_alert_count_issue,,likely_e2_core_if_screen1_confirms_noise
7,5aa2184e29081665f915594bc6de9b7fee6e4883,Double-Free,positive_scan_report_count,old:5aa2184e29081665f915594bc6de9b7fee6e4883:checker0,2644,0,0,drivers/net/ethernet/mellanox/mlx5/core/steering/hws/mlx5hws_definer.o,10,9,,,FALSE,TRUE,TRUE,research/knighter/runs/knighter-v613/validation_20260616_191849/buggy/2026-06-16-191920-1820404-1,research/knighter/runs/knighter-v613/validation_20260616_191849/fixed/2026-06-16-192021-1833163-1,research/knighter/e2/results/screen1_reports/07_5aa2184e2908_Double_Free/buggy,research/knighter/e2/results/screen1_reports/07_5aa2184e2908_Double_Free/fixed,P0,fixed-side noisy,pending_manual_semantic_review,,screen1_bad_baseline_candidate
8,768f17fd25e4a98bf5166148629ecf6f647d5efc,Integer-Overflow,positive_scan_report_count,old:768f17fd25e4a98bf5166148629ecf6f647d5efc:checker1,1729,0,0,drivers/gpu/drm/i915/i915_hwmon.o,8,6,,,FALSE,TRUE,TRUE,research/knighter/runs/knighter-v613/validation_20260616_192116/buggy/2026-06-16-192145-1846931-1,research/knighter/runs/knighter-v613/validation_20260616_192116/fixed/2026-06-16-192232-1859561-1,research/knighter/e2/results/screen1_reports/08_768f17fd25e4_Integer_Overflow/buggy,research/knighter/e2/results/screen1_reports/08_768f17fd25e4_Integer_Overflow/fixed,P0,fixed-side noisy,pending_manual_semantic_review,,screen1_bad_baseline_candidate
9,df94cb2e57b2cc539f325003e7abb76d3060d55b,Integer-Overflow,positive_scan_report_count,old:df94cb2e57b2cc539f325003e7abb76d3060d55b:checker7,120,0,0,fs/bcachefs/buckets.o;fs/bcachefs/io_misc.o,6,5,,,FALSE,TRUE,TRUE,research/knighter/runs/knighter-v613/validation_20260616_192317/buggy/2026-06-16-192439-1882494-1,research/knighter/runs/knighter-v613/validation_20260616_192317/fixed/2026-06-16-192608-1895756-1,research/knighter/e2/results/screen1_reports/09_df94cb2e57b2_Integer_Overflow/buggy,research/knighter/e2/results/screen1_reports/09_df94cb2e57b2_Integer_Overflow/fixed,P0,fixed-side noisy,pending_manual_semantic_review,,screen1_bad_baseline_candidate
10,f503ae90c7355e8506e68498fe84c1357894cd5b,Null-Pointer-Dereference,positive_scan_report_count,old:f503ae90c7355e8506e68498fe84c1357894cd5b:checker0,14,4,0,drivers/net/wireless/mediatek/mt76/mt7996/mcu.o,5,3,,,FALSE,TRUE,TRUE,research/knighter/runs/knighter-v613/validation_20260616_192645/buggy/2026-06-16-192723-1901057-1,research/knighter/runs/knighter-v613/validation_20260616_192645/fixed/2026-06-16-192829-1913838-1,research/knighter/e2/results/screen1_reports/10_f503ae90c735_Null_Pointer_Dereference/buggy,research/knighter/e2/results/screen1_reports/10_f503ae90c735_Null_Pointer_Dereference/fixed,P0,fixed-side noisy,pending_manual_semantic_review,,screen1_bad_baseline_candidate
