dataset,rank,case_id,commit_id,bug_type,selection_group,checker_id,case_dir,refinement_input,standard_patch,knighter_patch,checker_source
knighter-full,1,01_ac19c4c3d02e_Misuse,ac19c4c3d02e19b365209d2cee409671e1fb66bb,Misuse,local_triage,old:ac19c4c3d02e19b365209d2cee409671e1fb66bb:checker0,artifacts/research/knighter/cases/01_ac19c4c3d02e_Misuse,artifacts/research/knighter/cases/01_ac19c4c3d02e_Misuse/refinement_input.json,artifacts/research/knighter/cases/01_ac19c4c3d02e_Misuse/patches/commit.patch,artifacts/research/knighter/cases/01_ac19c4c3d02e_Misuse/patches/knighter_patch.md,artifacts/research/knighter/cases/01_ac19c4c3d02e_Misuse/csa/SAGenTestChecker.cpp
knighter-full,2,02_3027e7b15b02_Null_Pointer_Dereference,3027e7b15b02d2d37e3f82d6b8404f6d37e3b8cf,Null-Pointer-Dereference,local_triage,old:3027e7b15b02d2d37e3f82d6b8404f6d37e3b8cf:checker2,artifacts/research/knighter/cases/02_3027e7b15b02_Null_Pointer_Dereference,artifacts/research/knighter/cases/02_3027e7b15b02_Null_Pointer_Dereference/refinement_input.json,artifacts/research/knighter/cases/02_3027e7b15b02_Null_Pointer_Dereference/patches/commit.patch,artifacts/research/knighter/cases/02_3027e7b15b02_Null_Pointer_Dereference/patches/knighter_patch.md,artifacts/research/knighter/cases/02_3027e7b15b02_Null_Pointer_Dereference/csa/SAGenTestChecker.cpp
knighter-full,3,03_1f886a7bfb3f_Null_Pointer_Dereference,1f886a7bfb3faf4c1021e73f045538008ce7634e,Null-Pointer-Dereference,local_triage,old:1f886a7bfb3faf4c1021e73f045538008ce7634e:checker0,artifacts/research/knighter/cases/03_1f886a7bfb3f_Null_Pointer_Dereference,artifacts/research/knighter/cases/03_1f886a7bfb3f_Null_Pointer_Dereference/refinement_input.json,artifacts/research/knighter/cases/03_1f886a7bfb3f_Null_Pointer_Dereference/patches/commit.patch,artifacts/research/knighter/cases/03_1f886a7bfb3f_Null_Pointer_Dereference/patches/knighter_patch.md,artifacts/research/knighter/cases/03_1f886a7bfb3f_Null_Pointer_Dereference/csa/SAGenTestChecker.cpp
knighter-full,4,04_a54a594d72f2_Null_Pointer_Dereference,a54a594d72f25b08f39d743880a76721fba9ae77,Null-Pointer-Dereference,local_triage,old:a54a594d72f25b08f39d743880a76721fba9ae77:checker0,artifacts/research/knighter/cases/04_a54a594d72f2_Null_Pointer_Dereference,artifacts/research/knighter/cases/04_a54a594d72f2_Null_Pointer_Dereference/refinement_input.json,artifacts/research/knighter/cases/04_a54a594d72f2_Null_Pointer_Dereference/patches/commit.patch,artifacts/research/knighter/cases/04_a54a594d72f2_Null_Pointer_Dereference/patches/knighter_patch.md,artifacts/research/knighter/cases/04_a54a594d72f2_Null_Pointer_Dereference/csa/SAGenTestChecker.cpp
knighter-full,5,05_c48a4497356f_Uninit_Data,c48a4497356f701f94f1951626637ae240af909e,Uninit-Data,local_triage,old:c48a4497356f701f94f1951626637ae240af909e:checker7,artifacts/research/knighter/cases/05_c48a4497356f_Uninit_Data,artifacts/research/knighter/cases/05_c48a4497356f_Uninit_Data/refinement_input.json,artifacts/research/knighter/cases/05_c48a4497356f_Uninit_Data/patches/commit.patch,artifacts/research/knighter/cases/05_c48a4497356f_Uninit_Data/patches/knighter_patch.md,artifacts/research/knighter/cases/05_c48a4497356f_Uninit_Data/csa/SAGenTestChecker.cpp
knighter-full,6,06_8ede3db5061b_Integer_Overflow,8ede3db5061bb1fe28e2c9683329aafa89d2b1b4,Integer-Overflow,local_triage,old:8ede3db5061bb1fe28e2c9683329aafa89d2b1b4:checker2,artifacts/research/knighter/cases/06_8ede3db5061b_Integer_Overflow,artifacts/research/knighter/cases/06_8ede3db5061b_Integer_Overflow/refinement_input.json,artifacts/research/knighter/cases/06_8ede3db5061b_Integer_Overflow/patches/commit.patch,artifacts/research/knighter/cases/06_8ede3db5061b_Integer_Overflow/patches/knighter_patch.md,artifacts/research/knighter/cases/06_8ede3db5061b_Integer_Overflow/csa/SAGenTestChecker.cpp
knighter-full,7,07_5aa2184e2908_Double_Free,5aa2184e29081665f915594bc6de9b7fee6e4883,Double-Free,scan_selected,old:5aa2184e29081665f915594bc6de9b7fee6e4883:checker0,artifacts/research/knighter/cases/07_5aa2184e2908_Double_Free,artifacts/research/knighter/cases/07_5aa2184e2908_Double_Free/refinement_input.json,artifacts/research/knighter/cases/07_5aa2184e2908_Double_Free/patches/commit.patch,artifacts/research/knighter/cases/07_5aa2184e2908_Double_Free/patches/knighter_patch.md,artifacts/research/knighter/cases/07_5aa2184e2908_Double_Free/csa/SAGenTestChecker.cpp
knighter-full,8,08_768f17fd25e4_Integer_Overflow,768f17fd25e4a98bf5166148629ecf6f647d5efc,Integer-Overflow,scan_selected,old:768f17fd25e4a98bf5166148629ecf6f647d5efc:checker1,artifacts/research/knighter/cases/08_768f17fd25e4_Integer_Overflow,artifacts/research/knighter/cases/08_768f17fd25e4_Integer_Overflow/refinement_input.json,artifacts/research/knighter/cases/08_768f17fd25e4_Integer_Overflow/patches/commit.patch,artifacts/research/knighter/cases/08_768f17fd25e4_Integer_Overflow/patches/knighter_patch.md,artifacts/research/knighter/cases/08_768f17fd25e4_Integer_Overflow/csa/SAGenTestChecker.cpp
knighter-full,9,09_df94cb2e57b2_Integer_Overflow,df94cb2e57b2cc539f325003e7abb76d3060d55b,Integer-Overflow,scan_selected,old:df94cb2e57b2cc539f325003e7abb76d3060d55b:checker7,artifacts/research/knighter/cases/09_df94cb2e57b2_Integer_Overflow,artifacts/research/knighter/cases/09_df94cb2e57b2_Integer_Overflow/refinement_input.json,artifacts/research/knighter/cases/09_df94cb2e57b2_Integer_Overflow/patches/commit.patch,artifacts/research/knighter/cases/09_df94cb2e57b2_Integer_Overflow/patches/knighter_patch.md,artifacts/research/knighter/cases/09_df94cb2e57b2_Integer_Overflow/csa/SAGenTestChecker.cpp
knighter-full,10,10_f503ae90c735_Null_Pointer_Dereference,f503ae90c7355e8506e68498fe84c1357894cd5b,Null-Pointer-Dereference,scan_selected,old:f503ae90c7355e8506e68498fe84c1357894cd5b:checker0,artifacts/research/knighter/cases/10_f503ae90c735_Null_Pointer_Dereference,artifacts/research/knighter/cases/10_f503ae90c735_Null_Pointer_Dereference/refinement_input.json,artifacts/research/knighter/cases/10_f503ae90c735_Null_Pointer_Dereference/patches/commit.patch,artifacts/research/knighter/cases/10_f503ae90c735_Null_Pointer_Dereference/patches/knighter_patch.md,artifacts/research/knighter/cases/10_f503ae90c735_Null_Pointer_Dereference/csa/SAGenTestChecker.cpp
